Sr. No.,Category,States/ UTs/Cities,"Murder (Sec. 302, 303 IPC) - Incidence","Murder (Sec. 302, 303 IPC) - Rate",Attempt to Commit Murder (Sec. 307 IPC) - Incidence,Attempt to Commit Murder (Sec. 307 IPC) - Rate,"C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Incidence","C.H. not Amounting to Murder (Sec. 304, 308 IPC) - Rate",Rape (Sec. 376 IPC) Custodial - Incidence,Rape (Sec. 376 IPC) Custodial - Rate,Rape (Sec. 376 IPC) Others - Incidence,Rape (Sec. 376 IPC) Others - Rate,Rape (Sec. 376 IPC) Total - Incidence,Rape (Sec. 376 IPC) Total - Rate,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Women & Girls - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) of Others - Rate","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) Total - Incidence","Kidnapping & Abduction (Sec. 363-369, 371-373 IPC) Total - Rate",Dacoity (Sec. 395-398 IPC) - Incidence,Dacoity (Sec. 395-398 IPC) - Rate,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Incidence,Preparation & Assembly for Dacoity (Sec. 399-402 IPC) - Rate,"Robbery (Sec. 392-394,397,398 IPC) - Incidence","Robbery (Sec. 392-394,397,398 IPC) - Rate","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Incidence","Burglary (Sec. 449-452,454,455, 457-460 IPC) - Rate",Theft (Sec.379-382 IPC) Auto Theft - Incidence,Theft (Sec.379-382 IPC) Auto Theft - Rate,Theft (Sec.379-382 IPC) Other Theft - Incidence,Theft (Sec.379-382 IPC) Other Theft - Rate,Theft (Sec.379-382 IPC) Total - Incidence,Theft (Sec.379-382 IPC) Total - Rate,"Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC) - Incidence","Riots (Sec. 143-145, 147-151, 153, 153A, 153B, 157, 158, 160 IPC) - Rate",Criminal Breach of Trust (Sec. 406-409 IPC) - Incidence,Criminal Breach of Trust (Sec. 406-409 IPC) - Rate,"Cheating (Sec. 419,420 IPC) - Incidence","Cheating (Sec. 419,420 IPC) - Rate","Counterfeiting (Sec. 231-254,489A-489D IPC - Incidence","Counterfeiting (Sec. 231-254,489A-489D IPC) - Rate","Arson (Sec. 435,436,438 IPC) - Incidence","Arson (Sec. 435,436,438 IPC) - Rate","Hurt (Sec.323-333,335-338 IPC) - Incidence","Hurt (Sec.323-333,335-338 IPC) - Rate",Dowry Deaths (Sec.304B IPC) - Incidence,Dowry Deaths (Sec.304B IPC) - Rate,Molestation (Sec.354 IPC) - Incidence,Molestation (Sec.354 IPC) - Rate,Sexual Harassment (Sec.509 IPC) - Incidence,Sexual Harassment (Sec.509 IPC) - Rate,Cruelty by Husband and Relatives (Sec. 498A IPC) - Incidence,Cruelty by Husband and Relatives (Sec. 498A IPC) - Rate,Importation of Girls (Sec. 366B IPC) - Incidence,Importation of Girls (Sec. 366B IPC) - Rate,Causing Death by Negligence (Sec. 304A IPC) - Incidence,Causing Death by Negligence (Sec. 304A IPC) - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
54,City,Kochi,13,1,12,0.9,8,0.6,0,0,14,1,14,1,8,0.6,3,0.2,11,0.8,6,0.4,0,0,44,3.2,187,13.8,109,8,231,17,340,25.1,180,13.3,10,0.7,323,23.8,0,0,5,0.4,420,31,0,0,65,4.8,20,1.5,87,6.4,0,0,2,0.1,3952,291.7,5699,420.6
55,City,Kolkata,25,0.2,72,0.5,11,0.1,0,0,38,0.3,38,0.3,76,0.6,18,0.1,94,0.7,11,0.1,56,0.4,51,0.4,115,0.9,581,4.4,1985,15,2566,19.4,167,1.3,210,1.6,963,7.3,16,0.1,0,0,1057,8,4,0,173,1.3,37,0.3,276,2.1,1,0,488,3.7,2950,22.3,9381,71
56,City,Lucknow,113,5,139,6.1,25,1.1,0,0,29,1.3,29,1.3,131,5.8,35,1.5,166,7.3,3,0.1,2,0.1,216,9.5,399,17.6,1246,55,875,38.6,2121,93.6,211,9.3,198,8.7,418,18.4,36,1.6,0,0,53,2.3,21,0.9,56,2.5,154,6.8,315,13.9,0,0,256,11.3,1841,81.2,6772,298.7
57,City,Ludhiana,58,4.2,72,5.2,8,0.6,0,0,36,2.6,36,2.6,57,4.1,35,2.5,92,6.6,3,0.2,20,1.4,13,0.9,185,13.3,285,20.4,205,14.7,490,35.1,0,0,34,2.4,306,21.9,2,0.1,6,0.4,251,18,10,0.7,24,1.7,16,1.1,86,6.2,0,0,226,16.2,879,63,2817,201.9
58,City,Madurai,23,1.9,33,2.8,0,0,0,0,9,0.8,9,0.8,7,0.6,12,1,19,1.6,3,0.3,0,0,7,0.6,62,5.2,91,7.6,348,29.1,439,36.7,10,0.8,10,0.8,130,10.9,3,0.3,6,0.5,100,8.4,4,0.3,12,1,15,1.3,35,2.9,0,0,125,10.5,1419,118.7,2464,206.2
59,City,Meerut,66,5.7,84,7.2,7,0.6,0,0,13,1.1,13,1.1,44,3.8,11,0.9,55,4.7,3,0.3,1,0.1,42,3.6,86,7.4,379,32.5,218,18.7,597,51.2,94,8.1,50,4.3,126,10.8,8,0.7,3,0.3,69,5.9,5,0.4,29,2.5,72,6.2,162,13.9,0,0,99,8.5,729,62.5,2400,205.7
60,City,Mumbai,239,1.5,135,0.8,5,0,0,0,165,1,165,1,129,0.8,61,0.4,190,1.2,29,0.2,61,0.4,292,1.8,3111,19,3552,21.7,8133,49.7,11685,71.4,278,1.7,510,3.1,1701,10.4,137,0.8,15,0.1,3797,23.2,17,0.1,357,2.2,102,0.6,327,2,1,0,778,4.8,7138,43.6,31070,189.8
61,City,Nagpur,85,4,51,2.4,4,0.2,0,0,51,2.4,51,2.4,42,2,16,0.8,58,2.7,22,1,40,1.9,169,8,1275,60.1,882,41.5,1720,81,2602,122.6,247,11.6,57,2.7,326,15.4,11,0.5,14,0.7,1006,47.4,7,0.3,72,3.4,42,2,180,8.5,0,0,283,13.3,3389,159.6,9991,470.6
62,City,Nasik,38,3.3,14,1.2,1,0.1,0,0,14,1.2,14,1.2,22,1.9,10,0.9,32,2.8,5,0.4,2,0.2,48,4.2,438,38,368,31.9,557,48.4,925,80.3,135,11.7,19,1.6,128,11.1,6,0.5,5,0.4,222,19.3,2,0.2,36,3.1,15,1.3,119,10.3,0,0,172,14.9,575,49.9,2951,256.2
63,City,Patna,206,12.1,46,2.7,63,3.7,0,0,25,1.5,25,1.5,54,3.2,171,10,225,13.2,48,2.8,9,0.5,471,27.6,531,31.1,888,52,290,17,1178,69,187,11,3,0.2,225,13.2,6,0.4,3,0.2,32,1.9,34,2,9,0.5,2,0.1,165,9.7,0,0,219,12.8,4745,278,8432,494
64,City,Pune,104,2.8,99,2.6,4,0.1,0,0,77,2.1,77,2.1,74,2,34,0.9,108,2.9,31,0.8,21,0.6,219,5.8,1047,27.9,2181,58.1,1887,50.2,4068,108.3,497,13.2,81,2.2,533,14.2,16,0.4,13,0.3,1236,32.9,6,0.2,104,2.8,87,2.3,236,6.3,0,0,454,12.1,2443,65,11484,305.8
65,City,Rajkot,29,2.9,15,1.5,0,0,0,0,4,0.4,4,0.4,18,1.8,8,0.8,26,2.6,1,0.1,0,0,26,2.6,260,25.9,424,42.3,294,29.3,718,71.7,46,4.6,12,1.2,39,3.9,18,1.8,3,0.3,369,36.8,1,0.1,5,0.5,12,1.2,165,16.5,0,0,94,9.4,1646,164.3,3489,348.2
66,City,Surat,103,3.7,30,1.1,1,0,0,0,31,1.1,31,1.1,86,3.1,44,1.6,130,4.6,15,0.5,2,0.1,72,2.6,500,17.8,1457,51.8,749,26.6,2206,78.5,145,5.2,55,2,258,9.2,24,0.9,10,0.4,759,27,22,0.8,46,1.6,6,0.2,249,8.9,0,0,336,12,3659,130.2,8659,308
67,City,Vadodara,32,2.1,34,2.3,2,0.1,0,0,6,0.4,6,0.4,42,2.8,12,0.8,54,3.6,8,0.5,0,0,35,2.3,482,32.3,678,45.4,641,43,1319,88.4,147,9.9,30,2,199,13.3,14,0.9,31,2.1,316,21.2,0,0,17,1.1,2,0.1,181,12.1,0,0,134,9,2629,176.2,5672,380.2
68,City,Varanasi,45,3.7,47,3.9,10,0.8,0,0,5,0.4,5,0.4,29,2.4,4,0.3,33,2.7,0,0,5,0.4,22,1.8,94,7.8,505,41.7,148,12.2,653,53.9,79,6.5,58,4.8,88,7.3,17,1.4,0,0,72,5.9,15,1.2,29,2.4,25,2.1,50,4.1,0,0,94,7.8,529,43.6,1970,162.5
69,City,Vijayawada,43,4.3,50,4.9,6,0.6,1,0.1,20,2,21,2.1,60,5.9,26,2.6,86,8.5,3,0.3,0,0,34,3.4,392,38.8,424,41.9,1071,105.9,1495,147.9,11,1.1,58,5.7,410,40.6,12,1.2,10,1,1619,160.1,8,0.8,135,13.4,158,15.6,336,33.2,0,0,246,24.3,729,72.1,5862,579.8
70,City,Vishakhapatnam,37,2.8,30,2.3,1,0.1,0,0,21,1.6,21,1.6,40,3,9,0.7,49,3.7,3,0.2,1,0.1,27,2,417,31.4,356,26.8,765,57.6,1121,84.3,28,2.1,66,5,261,19.6,27,2,8,0.6,540,40.6,10,0.8,62,4.7,30,2.3,397,29.9,0,0,247,18.6,2095,157.6,5478,412.2
City,City,Total (Cities),2920,2.7,2858,2.6,356,0.3,1,0,1705,1.6,1706,1.6,2746,2.5,1171,1.1,3917,3.6,363,0.3,696,0.6,3878,3.6,19464,18,39480,36.6,45908,42.6,85388,79.2,4822,4.5,3213,3,15549,14.4,594,0.6,286,0.3,30426,28.2,642,0.6,3135,2.9,1776,1.6,9610,8.9,2,0,8799,8.2,125963,116.8,326363,302.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
